Mutant;Buggy_rules;OCL;EXAM_BC;EXAM_WC;EXAM_AVG
19;5;8;0.3333333333333333;0.4444444444444444;0.38888888888888884
19;5;9;0.3333333333333333;0.4444444444444444;0.38888888888888884
19;5;10;0.3333333333333333;0.4444444444444444;0.38888888888888884
19;5;11;0.3333333333333333;0.4444444444444444;0.38888888888888884
19;5;12;0.2222222222222222;0.3333333333333333;0.2777777777777778
19;5;13;0.2222222222222222;0.3333333333333333;0.2777777777777778
19;5;14;0.3333333333333333;0.4444444444444444;0.38888888888888884
20;6;2;0.1111111111111111;1.0;0.5555555555555556
20;6;3;1.0;1.0;1.0
20;6;6;0.8888888888888888;0.8888888888888888;0.8888888888888888
20;6;7;0.8888888888888888;0.8888888888888888;0.8888888888888888
20;6;8;0.8888888888888888;0.8888888888888888;0.8888888888888888
20;6;9;0.8888888888888888;0.8888888888888888;0.8888888888888888
20;6;10;0.8888888888888888;0.8888888888888888;0.8888888888888888
20;6;11;0.8888888888888888;0.8888888888888888;0.8888888888888888
20;6;12;0.7777777777777778;0.7777777777777778;0.7777777777777778
20;6;13;0.7777777777777778;0.7777777777777778;0.7777777777777778
20;6;14;0.8888888888888888;0.8888888888888888;0.8888888888888888
20;6;15;0.8888888888888888;0.8888888888888888;0.8888888888888888
21;1;2;0.1111111111111111;1.0;0.5555555555555556
21;1;15;0.1111111111111111;0.1111111111111111;0.1111111111111111
22;4;6;0.3333333333333333;0.4444444444444444;0.38888888888888884
22;4;7;0.3333333333333333;0.4444444444444444;0.38888888888888884
22;4;8;0.3333333333333333;0.4444444444444444;0.38888888888888884
22;4;9;0.3333333333333333;0.4444444444444444;0.38888888888888884
22;4;10;0.3333333333333333;0.4444444444444444;0.38888888888888884
22;4;11;0.3333333333333333;0.4444444444444444;0.38888888888888884
22;4;12;0.2222222222222222;0.3333333333333333;0.2777777777777778
22;4;13;0.2222222222222222;0.3333333333333333;0.2777777777777778
22;4;14;0.3333333333333333;0.4444444444444444;0.38888888888888884
23;6;6;0.5555555555555556;0.8888888888888888;0.7222222222222222
23;6;7;0.5555555555555556;0.8888888888888888;0.7222222222222222
23;6;8;0.5555555555555556;0.8888888888888888;0.7222222222222222
23;6;9;0.5555555555555556;0.8888888888888888;0.7222222222222222
23;6;10;0.5555555555555556;0.8888888888888888;0.7222222222222222
23;6;11;0.5555555555555556;0.8888888888888888;0.7222222222222222
23;6;12;0.4444444444444444;0.7777777777777778;0.6111111111111112
23;6;13;0.4444444444444444;0.7777777777777778;0.6111111111111112
23;6;14;0.5555555555555556;0.8888888888888888;0.7222222222222222
23;6;15;0.5555555555555556;0.8888888888888888;0.7222222222222222
24;2;3;0.1111111111111111;0.1111111111111111;0.1111111111111111
24;2;4;0.2222222222222222;0.2222222222222222;0.2222222222222222
25;4;6;0.3333333333333333;0.4444444444444444;0.38888888888888884
25;4;7;0.3333333333333333;0.4444444444444444;0.38888888888888884
25;4;8;0.3333333333333333;0.4444444444444444;0.38888888888888884
25;4;9;0.3333333333333333;0.4444444444444444;0.38888888888888884
25;4;10;0.3333333333333333;0.4444444444444444;0.38888888888888884
25;4;11;0.3333333333333333;0.4444444444444444;0.38888888888888884
25;4;12;0.2222222222222222;0.3333333333333333;0.2777777777777778
25;4;13;0.2222222222222222;0.3333333333333333;0.2777777777777778
25;4;14;0.3333333333333333;0.4444444444444444;0.38888888888888884
26;1;1;0.1111111111111111;1.0;0.5555555555555556
27;4,5;6;0.3333333333333333;0.4444444444444444;0.38888888888888884
27;4,5;7;0.3333333333333333;0.4444444444444444;0.38888888888888884
27;4,5;8;0.3333333333333333;0.4444444444444444;0.38888888888888884
27;4,5;9;0.3333333333333333;0.4444444444444444;0.38888888888888884
27;4,5;10;0.3333333333333333;0.4444444444444444;0.38888888888888884
